Id заявки|Id банкомата|SN банкомата|Тип|Модель|Адреса|Місто|Область|Розташування|Локалізація|Опис заявки|Звіт|Стан заявки|Час створення|Час доступа|Плановий час|Фактичний час|Час Принтек|
2535|4641|13-45181288|flm|SelfServ 6626|м. Фастів, вул. Соборна, 20|Фастів|Київська|Фастівське відділення|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|В отделени нет света. Минимум до 12:00|Заявка відхилена|04.02.2019 10:23:59|04.02.2019 10:39:00||||
2536|4264|13-45179903|atm repair|SelfServ 6626|м. Долинська, вул. Соборності України (Леніна), 17|Долинська|Кіровоградська|Долинське відділення|Диспенсер|Після ремонту диспенсера 22.01.19. Необхідно відновити роботу диспенсера. M-Status=12. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заменил контроллер диспенсера, заменил двигатель привода клемпа.|Заявка закрита|04.02.2019 10:44:06|04.02.2019 10:59:06|05.02.2019 13:59:00|08.02.2019 14:00:16|05.02.2019 13:59:00|
2537|4294|13-46071669|atm repair|SelfServ 6622|м. Ужгород, вул. Баб`яка, 7/1|Ужгород|Закарпатська|ЗП-г/м Епіцентр|Диспенсер|Необхідно відновити роботу диспенсера. Отримано інформацію від служби інкасації: рве та викидає купюри із 2-го та 4- го пікмодуля. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|На диспенсере заменили Т- образный коннектор 1-ого и 2-ого пик- модулей (пропускал вакуум) на новый. Заменили фильтр. Протестировали банкомат в работе. Итог, банкомат готов к инкассации. В Реноме отзвонились.|Заявка закрита|04.02.2019 10:55:22|04.02.2019 11:10:22|05.02.2019 10:10:00|05.02.2019 10:00:39|05.02.2019 10:10:00|
2538|4659|13-49011902|flm|SelfServ 6622|м. Львів, вул. Вулецька, 14|Львів|Львівська|ПАТ ІСКРА|Комунікаційне обладнання|Небхідно провести забір мережевого обладнання Радіоконект у звязку зі зняттям АТМ з обслуговування. АТМ розвантажено.  Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Хибний виклик. Банкомат демонтовано.|Заявка закрита|04.02.2019 11:13:21|04.02.2019 11:28:21|04.02.2019 15:28:00|04.02.2019 15:00:44||
2539|9925|13-41353296|flm|NCR PersonaS 77|м. Лозова, вул. Свободи, 24 (2-й АТМ)|Лозова|Харківська|ЗП-ЛКМЗ (4 прохідна)|Кардрідер|Необхідно перевірити роботу кардрідера. Поточний стан: пристрій несправний. M-Status=20. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Сброс ошибки, проведение тестов картридера. АТМ в сервисе.|Заявка закрита|04.02.2019 11:54:39|04.02.2019 12:09:39|05.02.2019 08:09:00|04.02.2019 18:00:46|05.02.2019 08:09:00|
2540|4641|13-45181288|flm|SelfServ 6626|м. Фастів, вул. Соборна, 20|Фастів|Київська|Фастівське відділення|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Банк повідомив про відновлення живлення. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Банкомат не обслуживается.|Заявка відхилена|04.02.2019 14:24:04|04.02.2019 14:39:04|||05.02.2019 13:39:00|
2541|4641|13-45181288|flm|SelfServ 6626|м. Фастів, вул. Соборна, 20|Фастів|Київська|Фастівське відділення|Комунікаційне обладнання|ПОВТОРНО! Необхідно перевірити мережеве обладнання, зв'язок відсутній. БАнк повідомив про відновлення живлення у відділенні. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|04.02.2019 15:20:28|04.02.2019 15:35:28||||
2542|9929|13-40823305|flm|NCR PersonaS 77|м. Новогродівка, вул. Шахтна, 1 (1-й АТМ)|Новогродівка|Донецька|ЗП-Шахта 3 Новогродівська|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Выполнена замена бумаги согласно заявке. Тестирование чекового принтера (ок). АТМ в сервисе.|Заявка закрита|04.02.2019 15:35:06|04.02.2019 15:50:06|05.02.2019 14:50:00|04.02.2019 19:35:32|05.02.2019 14:50:00|
2543|9945|13-41358016|atm repair|NCR PersonaS 87|м. Київ, вул. Кирилівська, 127 (3-й АТМ)|Київ|Київська|Відділення Кирилівське|Диспенсер|Необхідно відновити роботу диспенсера. Потрібно провести ремонт 2 пік модуля, касети не розпізнаються. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Ремонт диспенсера. Замена боковых плат, замена присосок, регулировка синхронизации и захвата. Тестирование на обучение и на выдачу.|Заявка закрита|04.02.2019 16:38:20|04.02.2019 16:53:20|05.02.2019 15:53:00|05.02.2019 14:15:17|05.02.2019 15:53:00|
2544|9898|13-41353867|flm|NCR PersonaS 77|м. Краматорськ, вул. Ордженикидзе, 5 (1-й АТМ)|Краматорськ|Донецька|ЗП-ПАТ НКМЗ|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка прийнята в роботу|04.02.2019 19:46:27|04.02.2019 20:01:27|05.02.2019 17:00:00||05.02.2019 17:00:00|
2545|9936|13-41354236|flm|NCR PersonaS 77|м. Київ, вул. Старонаводницька, 13|Київ|Київська|ЗП-Клініка сімейної медицини Здравиця|Кардрідер|Необхідно перевірити роботу кардрідера. Поточний стан: пристрій несправний. M-Status=20.Логи у вкладенні. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Вынул деформированную карту. Сброс ошибки картридера.|Заявка закрита|05.02.2019 09:25:00|05.02.2019 09:40:00|05.02.2019 13:40:00|05.02.2019 11:20:31|05.02.2019 13:40:00|
2546|3754|13-41841789|atm repair|NCR PersonaS 77|м. Львів, вул. Городоцька, 226Б|Львів|Львівська|ЗП-ПАТ Київстар|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=18. Логи відсутні, так як відсутній файловий обмін із АТМ. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|ТО диспенсера. Тестування. Дзвінок в реноме.|Заявка закрита|05.02.2019 10:57:15|05.02.2019 11:12:15|06.02.2019 10:12:00|05.02.2019 17:00:53|06.02.2019 11:12:00|
2547|9868|13-41353509|flm|NCR PersonaS 77|смт. Берестове, вул. Шкільна, 32|Берестове|Запорізька|ЗП-Берестівська сільська рада|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявка отклонена|Заявка відхилена|05.02.2019 13:07:13|05.02.2019 13:22:13|06.02.2019 09:22:00||06.02.2019 09:22:00|
2548|9960|13-41354246|flm|NCR PersonaS 77|м. Новогродівка, вул. 40 років Жовтня, 36|Новогродівка|Донецька|ЗП-Магазин Центральний|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка відхилена|05.02.2019 13:08:47|05.02.2019 13:23:47|06.02.2019 12:23:00||05.02.2019 17:23:00|
2549|4067|13-45179962|flm|SelfServ 6626|м. Нікополь, пр. Трубників, 11А|Нікополь|Дніпропетровська|Нікопольське відділення|Кардрідер|Необхідно перевірити роботу кардрідера. Поточний стан: пристрій несправний. M-Status=20. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Чистка ридера, тестирование, работоспособность востановлена. МЦ RENOME-SMART оповещен.|Заявка закрита|05.02.2019 14:43:25|05.02.2019 14:58:25|06.02.2019 13:58:00|06.02.2019 12:00:29|06.02.2019 13:58:00|
2550|9953|13-41376359|flm|NCR PersonaS 77|м. Маріуполь, бул. 50 років СРСР, 77|Маріуполь|Донецька|ЗП-Магазин Брусничка|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявку отменили. АТМ заработал.|Заявка відхилена|05.02.2019 17:13:00|05.02.2019 17:28:47|06.02.2019 16:28:00||06.02.2019 16:28:00|
2551|4033|13-45179802|flm|SelfServ 6626|м. Львів, вул. Зелена, 204 (2-й АТМ)|Львів|Львівська|Дністровське відділення|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Відділення банку закрите. Прохання назначати заявку на час роботи відділення банку.|Заявка закрита|05.02.2019 18:14:04|05.02.2019 18:29:04|06.02.2019 10:29:00|05.02.2019 19:45:33|06.02.2019 10:29:00|
2552|9821|13-41353561|flm|NCR PersonaS 77|м. Одеса, вул. Дворянська, 32|Одеса|Одеська|ЗП-Одеське училище|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявку отменили. АТМ заработал.|Заявка відхилена|05.02.2019 19:42:23|05.02.2019 19:57:23|06.02.2019 11:57:00|||
2553|4208|13-45179868|flm|SelfServ 6626|м. Одеса, вул. Люстдорфська дорога, 5|Одеса|Одеська|ЗП-Бізнес-центр|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. Встановлений без х4 агента, логи надати немає можливості. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка прийнята в роботу|06.02.2019 07:49:33|06.02.2019 09:00:00|06.02.2019 13:00:00||06.02.2019 13:00:00|
2554|4076|13-45179801|flm|SelfServ 6626|с. Дунаївці, вул. Шевченка, 51|Дунаївці|Хмельницька|Дунаєвецьке відділення|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Вирішено в телефонному режимі. Видалення застрявшого чека. Зняття помилок. Тестування чекового принтера|Заявка закрита|06.02.2019 09:29:33|06.02.2019 09:44:33|06.02.2019 17:44:00|06.02.2019 15:50:45|06.02.2019 17:44:00|
2555|9898|13-41353867|atm repair|NCR PersonaS 77|м. Краматорськ, вул. Ордженикидзе, 5 (1-й АТМ)|Краматорськ|Донецька|ЗП-ПАТ НКМЗ|Системний блок|За попередньою інформацією від інженера необхідна діагностика та ремонт системного блоку . Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена материнской платы, замена жесткого диска. Тестирование памяти и оборудования. 8 февраля  поеду на установку блока и установку ПО.|Заявка закрита|06.02.2019 09:52:26|06.02.2019 10:07:26|07.02.2019 13:07:00|07.02.2019 14:55:59|07.02.2019 12:07:00|
2556|4033|13-45179802|flm|SelfServ 6626|м. Львів, вул. Зелена, 204 (2-й АТМ)|Львів|Львівська|Дністровське відділення|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Проведено заміну паперу на чековому принтера. Реноме повідомлено по телефону про виконання заявки.|Заявка закрита|06.02.2019 10:18:03|06.02.2019 10:33:03|06.02.2019 14:33:00|06.02.2019 12:30:33|06.02.2019 14:33:00|
2557|4641|13-45181288|flm|SelfServ 6626|м. Фастів, вул. Соборна, 20|Фастів|Київська|Фастівське відділення|Комунікаційне обладнання|Необхідно провести забір мережевого обладнання Радіоконект після розвантаження АТМ. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|В АТМ отсутствует коммуникационное оборудование|Заявка закрита|06.02.2019 11:03:42|06.02.2019 11:18:42|06.02.2019 19:18:00|06.02.2019 13:40:04|06.02.2019 19:18:00|
2558|9951|13-41354242|flm|NCR PersonaS 77|смт. Великий Бичків, вул. Промислова, 39|Великий Бичків|Закарпатська|ЗП-ДП Великобичківське лісомисливське господарство|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|06.02.2019 13:03:30|06.02.2019 13:18:30|07.02.2019 12:18:00||07.02.2019 12:18:00|
2559|4186|13-45179807|flm|SelfServ 6626|м. Львів, вул. Шевченка, 4|Львів|Львівська|ЗП-Ігрові автомати|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=17. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Скидання помилки на чековому принтері тест АТМ.|Заявка закрита|06.02.2019 13:05:34|06.02.2019 13:20:34|06.02.2019 17:20:00|06.02.2019 15:00:25|06.02.2019 17:20:00|
2560|9825|13-41353513|atm repair|NCR PersonaS 77|м. Київ, пр. Соборності, 1 (2-й АТМ)|Київ|Київська|Відділення Київське №31|Диспенсер|Необхідно відновити роботу диспенсера. Проблеми із третім пікером, не злистуються купюри, тестування не проходить, необхідний ремонт пікера . Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Ремонт диспенсера. Замена вакуумных чашек.|Заявка закрита|06.02.2019 13:23:49|06.02.2019 13:38:49|07.02.2019 12:38:00|06.02.2019 15:00:01|07.02.2019 12:38:00|
2561|4186|13-45179807|flm|SelfServ 6626|м. Львів, вул. Шевченка, 4|Львів|Львівська|ЗП-Ігрові автомати|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Проведено заміну паперу на чековому принтері. Реноме повідомлено по телефону.|Заявка закрита|06.02.2019 15:22:03|06.02.2019 15:37:04|06.02.2019 19:37:00|06.02.2019 16:00:17|06.02.2019 19:37:00|
2562|4302|13-51991097|flm|SelfServ 6626|м. Київ, вул. Братиславська, 11|Київ|Київська|ЗП-г/м Епіцентр|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Перезагрузка АТМ и допоборудования по питанию.|Заявка закрита|06.02.2019 15:31:41|06.02.2019 15:46:41|06.02.2019 19:46:00|07.02.2019 13:30:59|06.02.2019 19:46:00|
2563|4328|13-45179940|flm|SelfServ 6626|м. Нікополь, вул. Дружби, 2|Нікополь|Дніпропетровська|ЗП-магазин Кафель-Сантехника|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=17. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка прийнята в роботу|06.02.2019 17:04:47|06.02.2019 17:19:48|07.02.2019 16:19:00||07.02.2019 16:19:00|
2564|4186|13-45179807|atm repair|SelfServ 6626|м. Львів, вул. Шевченка, 4|Львів|Львівська|ЗП-Ігрові автомати|Принтер чековий|Небхідно виконати заміну чекового принтера. Повторна помилка. М-статус 16.  Логи у вкладенні. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Вилучення чека з принтера та тестування АТМ. Реноме повідомлено по телефону.|Заявка закрита|06.02.2019 17:20:22|06.02.2019 17:35:22|07.02.2019 16:35:00|07.02.2019 13:10:06|07.02.2019 16:35:00|
2565|4369|13-45179952|flm|SelfServ 6626|м. Кривий Ріг, вул. Ракітіна (Ногіна), 13|Кривий Ріг|Дніпропетровська|Меблевий маг. Кароліна|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=17. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка прийнята в роботу|06.02.2019 17:54:54|06.02.2019 18:09:54|07.02.2019 17:09:00|||
2566|4076|13-45179801|atm repair|SelfServ 6626|с. Дунаївці, вул. Шевченка, 51|Дунаївці|Хмельницька|Дунаєвецьке відділення|Принтер чековий|Необхідно відновити роботу чекового принтера. Поточний стан: пристрій несправний. Повторний M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Извлечение засорявшего чека. Чистка датчиков чекового принтера. Снятие ошибок чекового принтера. Тестирование чекового принтера.|Заявка закрита|06.02.2019 19:52:54|06.02.2019 20:07:54|08.02.2019 12:00:00|08.02.2019 09:50:15|08.02.2019 12:00:00|
2567|4349|13-45179968|flm|SelfServ 6626|м. Енергодар, вул. Промислова, 133|Енергодар|Запорізька|Запорізька АЕС|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Перезагрузил коммуникационное оборудование и АТМ.|Заявка закрита|07.02.2019 08:01:51|07.02.2019 09:00:00|07.02.2019 17:00:00|07.02.2019 11:55:15|07.02.2019 17:00:00|
2568|4561|13-45179974|flm|SelfServ 6626|м. Чернігів, пр. Миру, 44|Чернігів|Чернігівська|3-я міська поліклініка|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Перезагрузка коммуникационного оборудования. Тестирование.|Заявка закрита|07.02.2019 08:03:24|07.02.2019 09:00:00|07.02.2019 13:00:00|07.02.2019 12:45:42|07.02.2019 13:00:00|
2569|4063|13-48383099|atm repair|SelfServ 6626|м. Городок, вул. Грушевського, 80|Городок|Хмельницька|Городоцьке відділення|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=18, 12. Логи у вкладені. Доступ до АТМ по прибутті. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заміна присосок, регулювання захвату, синхронізація пік модулів, чистка валів, та датчиків. На моніторинг відзвонився. АТМ готовий до інкасації.|Заявка закрита|07.02.2019 08:13:09|07.02.2019 09:00:00|08.02.2019 12:00:00|07.02.2019 17:00:29|08.02.2019 12:00:00|
2570|4190|13-45167150|flm|SelfServ 6626|м. Чернігів, вул. Незалежності, 32|Чернігів|Чернігівська|ЗП-с/м Велика Кишеня|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги. Тестирование. Бумага установлена с термослоем с другой стороны.|Заявка закрита|07.02.2019 09:09:51|07.02.2019 09:24:51|07.02.2019 13:24:00|07.02.2019 12:00:14|07.02.2019 13:24:00|
2571|9845|13-40821779|atm repair|NCR PersonaS 77|м. Суми, вул. Друга Залізнична, 10|Суми|Сумська|ЗП-Сумитеплоенерго|Кардрідер|Необхідно відновити роботу кардрідера. Після заміни кардрідера 31.01.2019. З відділення надійшла інформація що не піднімається заслінка. M-Status=20. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена картридера.|Заявка закрита|07.02.2019 09:38:47|07.02.2019 09:53:47|07.02.2019 17:53:00|07.02.2019 16:15:04|07.02.2019 17:53:00|
