Id заявки|Id банкомата|SN банкомата|Тип|Модель|Адреса|Місто|Область|Розташування|Локалізація|Опис заявки|Звіт|Стан заявки|Час створення|Час доступа|Плановий час|Фактичний час|
2820|4387|13-45179893|flm|SelfServ 6626|м. Знам'янка, вул. Калініна, 118Д|Знам'янка|Кіровоградська|Магазин Серебро|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка відхилена|02.03.2019 09:52:48|04.03.2019 09:00:00|04.03.2019 17:00:00|||
2821|4440|13-45179971|flm|SelfServ 6626|м. Чудей, вул. Карпатська, 1|Чудей|Чернівецька|Магазин|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Перезагружен атм и оборудование связи. Атм включен после прохождения теста ИБП (разряжен). Банкомат работает.|Заявка закрита|02.03.2019 13:53:00|04.03.2019 09:00:00|04.03.2019 17:00:00|04.03.2019 15:00:30|04.03.2019 17:00:00|
2822|4063|13-48383099|flm|SelfServ 6626|м. Городок, вул. Грушевського, 80|Городок|Хмельницька|Відділення Городоцьке|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замінено термопапір, залишено додатково один рулон. Моніторинг повідомлено.|Заявка закрита|02.03.2019 16:14:04|04.03.2019 09:00:00|04.03.2019 17:00:00|04.03.2019 13:30:10|04.03.2019 17:00:00|
2823|9875|13-41353569|flm|PersonaS 77|м. Київ, пр. Правди, 85|Київ|Київська|Київспецтранс|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ зарбаотал|Заявка відхилена|02.03.2019 16:58:02|04.03.2019 09:00:00|04.03.2019 13:00:00||04.03.2019 13:00:00|
2824|4360|13-52671498|flm|SelfServ 6626|м. Коростень, вул. Каштанова, 3|Коростень|Житомирська|ТОВ Коростенський щебзавод|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка відхилена|03.03.2019 10:00:18|04.03.2019 09:00:18|04.03.2019 17:00:00|||
2825|4208|13-45179868|flm|SelfServ 6626|м. Одеса, вул. Люстдорфська дорога, 5|Одеса|Одеська|Бізнес-центр|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Нет света.|Заявка закрита|04.03.2019 08:58:34|04.03.2019 09:13:34|04.03.2019 13:13:00|04.03.2019 09:50:12||
2826|4067|13-45179962|atm repair|SelfServ 6626|м. Нікополь, пр. Трубників, 11А (2-й АТМ)|Нікополь|Дніпропетровська|Відділення Нікопольське|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=18. Логи у вкладені. Доступ до АТМ по прибутті. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заменена сдвоенная шестерня, чистка датчиков, тестирование. Готов к загрузке.|Заявка закрита|04.03.2019 09:10:14|04.03.2019 09:25:14|05.03.2019 12:25:00|04.03.2019 12:00:16|05.03.2019 12:25:00|
2827|9889|13-39729932|flm|PersonaS 87|м. Одеса, вул. Катерининська, 11 (2-й АТМ)|Одеса|Одеська|Відділення Одеське|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Извлечен застрявший чек.|Заявка закрита|04.03.2019 09:36:19|04.03.2019 09:51:19|04.03.2019 13:51:00|04.03.2019 10:30:38||
2828|4140|13-52671501|flm|SelfServ 6626|м. Одеса, вул. Генерала Бочарова, 40 (2-й АТМ)|Одеса|Одеська|Відділення Одеське №13|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги.|Заявка закрита|04.03.2019 11:54:59|04.03.2019 12:09:59|04.03.2019 16:09:00|04.03.2019 15:15:13|04.03.2019 16:09:00|
2829|9806|13-41353554|flm|PersonaS 77|м. Новогродівка, вул. 40 років Жовтня, 46|Новогродівка|Донецька|Магазин Росія|Кардрідер|Необхідно перевірити роботу кардрідера, провести тестову транзакцію. Тривалий час відутні транзакції, отримано інформаціб від банку: присутня помилка по кардрідеру. Логи у вкладенні. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Выполнен сброс ошибки картридера. Тестирование. Необходима ремонтная заявка.(уже создана).|Заявка закрита|04.03.2019 16:20:30|04.03.2019 16:35:31|05.03.2019 15:35:00|05.03.2019 10:25:47|05.03.2019 15:35:00|
2830|9821|13-41353561|flm|PersonaS 77|м. Одеса, вул. Дворянська, 32|Одеса|Одеська|Одеське училище|Лицева панель|Згідно звернення від банку необхідно впорядкувати та прибрати провода які звисають із АТМ:провода от банкомата свисают со всех сторон и вокруг банкомата.  На прохання банку роботи необхідно виконати до 05.03. до 13:00. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Требуется установка сетевого удлинителя 220В ( 1,8 м ) Ожидаем заявку с гарантией оплаты.|Заявка закрита|04.03.2019 18:32:49|05.03.2019 09:00:00|05.03.2019 13:00:00|04.03.2019 18:45:30||
2831|9821|13-41353561|flm|PersonaS 77|м. Одеса, вул. Дворянська, 32|Одеса|Одеська|Одеське училище|Лицева панель|Згідно звернення від банку необхідно впорядкувати та прибрати провода які звисають із АТМ:провода от банкомата свисают со всех сторон и вокруг банкомата.  На прохання банку роботи необхідно виконати до 05.03. до 13:00. Банк оплату подовжувача та виїзд інженера гарантує. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Осмотр АТМ, установка удленителя. Кабели не свисали вокруг банкомата.  Фотографии прилагаются.|Заявка закрита|05.03.2019 09:35:31|05.03.2019 09:50:31|05.03.2019 13:50:00|05.03.2019 11:55:35|05.03.2019 13:50:00|
2832|4116|13-45179896|flm|SelfServ 6626|м. Одеса, вул. Середня, 83А (2-й АТМ)|Одеса|Одеська|Відділення Балківське|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Логи у вкладенні. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги чекового принтера.|Заявка закрита|05.03.2019 10:27:22|05.03.2019 10:42:22|05.03.2019 14:42:00|05.03.2019 12:20:40|05.03.2019 14:42:00|
2833|9806|13-41353554|atm repair|PersonaS 77|м. Новогродівка, вул. 40 років Жовтня, 46|Новогродівка|Донецька|Магазин Росія|Кардрідер|Відновлення роботи кардрідера. Розбірка та повна чистка кардрідера. РОботи вже виконані  Василем Кравченком|Выполнена чиска картридера с полной разборкой. Очень грязный. В помещении где стоит АТМ проводятся строительные работы. Тестирование картридера (ок). АТМ в сервисе.|Заявка закрита|05.03.2019 10:51:08|05.03.2019 11:06:08|06.03.2019 14:06:00|05.03.2019 10:55:54|06.03.2019 14:06:00|
2834|4608|13-45179906|atm repair|SelfServ 6626|м. Вільнянськ, вул. Бочарова, 4|Вільнянськ|Запорізька|Вільнянська міська рада|Принтер чековий|Необхідно виконати заміну чекового принтера. Постійні помилки M-Status 17.  Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заменен принтер и бумага.|Заявка закрита|05.03.2019 11:29:45|05.03.2019 11:44:45|06.03.2019 14:44:00|05.03.2019 17:20:26|06.03.2019 14:44:00|
2835|4122|13-45181304|atm repair|SelfServ 6626|м. Харків, вул. Гоголя, 10 (3-й АТМ)|Харків|Харківська|Відділення Харківське|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=12. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Произведена чистка датчиков презентера. Клэмп установлен в рабочее положение.|Заявка закрита|05.03.2019 12:07:03|05.03.2019 12:22:03|06.03.2019 11:22:00|05.03.2019 16:00:13|06.03.2019 11:22:00|
2836|4389|13-45179880|flm|SelfServ 6626|м. Лисичанськ, пр. Перемоги, 80|Лисичанськ|Луганська|Магазин Абсолют|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|05.03.2019 13:04:37|05.03.2019 13:19:38|06.03.2019 09:19:00||06.03.2019 09:19:00|
2837|4219|13-45179970|flm|SelfServ 6626|м. Лисичанськ, вул. Шкільна, 4|Лисичанськ|Луганська|Відділення Лисичанське|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|||05.03.2019 13:09:12|05.03.2019 13:24:12|||05.03.2019 21:24:12|
2838|4219|13-45179970|flm|SelfServ 6626|м. Лисичанськ, вул. Шкільна, 4|Лисичанськ|Луганська|Відділення Лисичанське|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|05.03.2019 13:18:29|05.03.2019 13:33:29|06.03.2019 09:33:00||06.03.2019 09:33:00|
2839|9960|13-41354246|flm|PersonaS 77|м. Новогродівка, вул. 40 років Жовтня, 36|Новогродівка|Донецька|Магазин Центральний|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Созвон с магазином где расположен АТМ. В помещении частые отключения эл. снабжения.|Заявка закрита|05.03.2019 14:48:32|05.03.2019 15:03:32|06.03.2019 14:03:00|05.03.2019 17:35:53|06.03.2019 13:03:00|
2840|9876|13-40681832|flm|PersonaS 77|м. Київ, вул. Білицька, 45|Київ|Київська|Київгаз|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замятие бумаги. Сброс ошибок.|Заявка закрита|06.03.2019 08:01:52|06.03.2019 08:16:52|06.03.2019 12:16:00|06.03.2019 12:25:13|06.03.2019 12:16:00|
2841|9978|13-41376413|flm|PersonaS 77|м. Краматорськ, вул. Ордженикидзе, 5 (2-й АТМ)|Краматорськ|Донецька|ПАТ НКМЗ|Кардрідер|Необхідно перевірити роботу кардрідера. Поточний стан: пристрій несправний. M-Status=27, 13, 16, 20. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Извлек бумажный чек из кардридера, протер ролики. Тестирование.|Заявка закрита|06.03.2019 08:03:19|06.03.2019 08:18:19|06.03.2019 17:00:00|06.03.2019 15:40:20|06.03.2019 17:00:00|
2842|4570|13-45181309|flm|SelfServ 6626|м. Харків, вул. Полтавський Шлях, 155|Харків|Харківська|Магазин ГОССОН|Кардрідер|Необхідно перевірити роботу кардрідера. Поточний стан:пристрій несправний. M-Status=11/13. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Вандализм. Из карт-ридера извлечен посторонний предмет. Сброс ошибки, тестирование. Фотографии прилагаются.|Заявка закрита|06.03.2019 09:06:51|06.03.2019 09:21:51|06.03.2019 13:21:00|06.03.2019 11:30:01|06.03.2019 13:21:00|
2843|4570|13-45181309|flm|SelfServ 6626|м. Харків, вул. Полтавський Шлях, 155|Харків|Харківська|Магазин ГОССОН|Кардрідер|Необхідно перевірити роботу кардрідера. Поточний стан: пристрій несправний. M-Status=11, 13, 16, 20. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявка дана повторно.|Заявка відхилена|06.03.2019 09:10:04|06.03.2019 09:25:04||||
2844|4117|13-45179912|flm|SelfServ 6626|м. Житомир, вул. Перемоги, 7А (3-й АТМ)|Житомир|Житомирська|Відділення Житомирське|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ запущен в работу.|Заявка закрита|06.03.2019 10:39:32|06.03.2019 10:54:32|06.03.2019 14:54:00|06.03.2019 09:00:02|06.03.2019 14:54:00|
2845|4381|13-45167159|flm|SelfServ 6622|с. Яснозір'я, вул. Центральна, 82|Яснозір'я|Черкаська|ТОВ Верес|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|06.03.2019 11:24:37|06.03.2019 11:39:37|06.03.2019 19:39:00||06.03.2019 19:39:00|
2846|4393|13-46071667|flm|SelfServ 6622|м. Нікополь, пр. Трубникiв, 56 (2-й АТМ)|Нікополь|Дніпропетровська|ЗАТ НЗСТ ЮтіСТ|Лицева панель|Необхідно перевірити роботу замка сервісної частини. Інкасації повідомила, що виникають проблеми при закритті. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Настройка замка, тестирование, работоспособность востановлена. Оператор МЦ RENOME-SMART оповещен.|Заявка закрита|06.03.2019 11:52:52|06.03.2019 12:07:52|07.03.2019 10:07:00|06.03.2019 17:00:07|07.03.2019 10:07:00|
2847|4393|13-46071667|flm|SelfServ 6622|м. Нікополь, пр. Трубникiв, 56 (2-й АТМ)|Нікополь|Дніпропетровська|ЗАТ НЗСТ ЮтіСТ|Клавіатура ЕРР|Необхідно перевірити роботу EPP-клавіатури. Інкасація повідомила, що погано натискається клавіша ENTER. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Настройка соответствия клавиши "энтер", тестирование, работоспособность востановлена. Оператор МЦ RENOME-SMART оповещен.|Заявка закрита|06.03.2019 11:57:44|06.03.2019 12:12:44|07.03.2019 10:12:00|06.03.2019 18:00:46|07.03.2019 10:12:00|
2848|4425|13-45179886|flm|SelfServ 6626|м. Житомир, пл. Корольова, 4/2|Житомир|Житомирська|Міськвиконком|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Установлен  новый рулон бумаги.|Заявка закрита|06.03.2019 13:46:29|06.03.2019 14:01:29|07.03.2019 09:01:00|06.03.2019 16:30:15|07.03.2019 09:01:00|
2849|9876|13-40681832|flm|PersonaS 77|м. Київ, вул. Білицька, 45|Київ|Київська|Київгаз|Принтер чековий|ПОВТОРНО. Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Після проведення робіт 06.03 помилка повторилася. Логи у вкладенні. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги. Сброс ошибок.|Заявка закрита|06.03.2019 14:49:45|06.03.2019 15:04:45|06.03.2019 19:04:00|06.03.2019 17:10:50|06.03.2019 19:04:00|
2850|4328|13-45179940|flm|SelfServ 6626|м. Нікополь, вул. Дружби, 2|Нікополь|Дніпропетровська|Магазин Кафель-Сантехника|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=17. Логи у вкладенні. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Извлечен чек, чистка, тестирование, работоспособность востановлена.  Оператор МЦ RENOME-SMART оповещен.|Заявка закрита|06.03.2019 16:00:02|06.03.2019 16:15:02|07.03.2019 15:15:00|07.03.2019 13:00:35|07.03.2019 15:15:02|
2851|4076|13-45179801|atm repair|SelfServ 6626|с. Дунаївці, вул. Шевченка, 51|Дунаївці|Хмельницька|Відділення Дунаєвецьке|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=5. Відбраковує усі купюри. Логи у вкладені. Доступ до АТМ по прибутті. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Чистка датчиков диспенсера. Проверка вакуума. Чистка полумесяцев которые поднимают клэмп. Проверка и настройка точек захвата и синхронизации. Замена присосок. Чистка резиновых роликов которые прижимают купюры. Тестирование диспенсера тестовыми купюрами. Проведение обучения на реальных купюрах после загрузки АТМ. АТМ работает в штатном режиме. Работники Реноме уведомлены.|Заявка закрита|06.03.2019 16:10:12|06.03.2019 16:25:12|11.03.2019 10:25:00|07.03.2019 10:40:38|07.03.2019 15:25:12|
2852|4158|13-54100608|flm|Selfserv 6683|Київ, вул. Саксаганського, 14 (3-й АТМ)|Київ|Київська|Відділення Старокиївське|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. Логи у вкладенні. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги, диагностика.|Заявка закрита|06.03.2019 18:56:12|07.03.2019 09:00:00||07.03.2019 12:40:23|07.03.2019 13:00:00|
2853|9833|13-41353282|flm|PersonaS 77|м. Київ, вул. Гната Хоткевича, 20 (1-й АТМ)|Київ|Київська|ТОВ Євро-Реконструкція|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка прийнята в роботу|07.03.2019 07:58:51|07.03.2019 09:00:00|07.03.2019 13:00:00|||
2854|4162|13-45179927|atm repair|SelfServ 6626|м. Запоріжжя, вул. Олександрівська, 35 (2-й АТМ)|Запоріжжя|Запорізька|Відділення Запорізьке|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=12. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Проверка работы атм. Необходимо обучить на деньги.|Заявка закрита|07.03.2019 09:40:12|07.03.2019 09:55:12|07.03.2019 17:55:00|07.03.2019 11:30:59|07.03.2019 17:55:12|
2855|9879|08-37937384|flm|PersonaS 77|с. Ільниця, вул. Радянська, 73/5|Ільниця|Закарпатська|ТОВ К'Лен|Принтер чековий|Необхідно перевірити роботу чекового принтера. отримали інофрмацію про замяття паперу на вході в принтер. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Злетів транспортний пасик на принтері. Після відновлення його положення та видалення чеків, тест пройшов успішно. АТМ в роботі. ПЦ повідомив.|Заявка закрита|07.03.2019 09:54:04|07.03.2019 10:09:04|11.03.2019 09:09:00|07.03.2019 11:30:15|07.03.2019 18:09:04|
2856|9940|13-41376433|atm repair|PersonaS 77|м. Львів, вул. Шевченка, 111А|Львів|Львівська|ТОВ Вимпел глобал сервісиз Україна|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=5. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заміна подвійної шестерні 1-го пік модуля, присосок. Тестування.|Заявка закрита|07.03.2019 12:00:39|07.03.2019 12:15:39|11.03.2019 11:15:00|07.03.2019 14:30:19|11.03.2019 11:15:00|
2857|9940|13-41376433|atm repair|PersonaS 77|м. Львів, вул. Шевченка, 111А|Львів|Львівська|ТОВ Вимпел глобал сервісиз Україна|Диспенсер|Небхідно перевести сейфову частину на транспортний ключ, отримано інофрмацію від служби інкасації: лімб збитий, на транспортний ключ не вдалося перевести, сейфову частину  залишено відчиненою, АТМ розвантажено. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Данная работа возможна на платной основе по согласованию с банком. Необходимо согласование.|Заявка відхилена|07.03.2019 12:23:50|07.03.2019 12:38:50|||11.03.2019 11:38:00|
2858|9940|13-41376433|atm repair|PersonaS 77|м. Львів, вул. Шевченка, 111А|Львів|Львівська|ТОВ Вимпел глобал сервісиз Україна|Диспенсер|Небхідно перевести сейфову частину на транспортний ключ, отримано інофрмацію від служби інкасації: лімб збитий, на транспортний ключ не вдалося перевести, сейфову частину  залишено відчиненою, АТМ розвантажено. Банк гарантує оплату робіт. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Виставив замок на код 50.|Заявка закрита|07.03.2019 13:41:38|07.03.2019 13:56:38|11.03.2019 12:56:00|07.03.2019 15:30:02|11.03.2019 12:56:00|
2859|4204|13-45179870|flm|SelfServ 6626|м. Ужгород, вул. Минайська, 29А|Ужгород|Закарпатська|Магазин  Євро сезони|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Логи у вкладенні. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Помилку чекового принтеру скинув, хоча явних причин її виникнення не побачив. АТМ в роботі. ПЦ повідомив.|Заявка закрита|07.03.2019 13:56:06|07.03.2019 14:11:06|09.03.2019 12:00:00|09.03.2019 12:00:33|07.03.2019 18:11:00|
2860|4144|13-45181327|flm|SelfServ 6626|м. Краматорськ, вул. Ярослава Мудрого, 48Г (3-й АТМ)|Краматорськ|Донецька|Відділення Краматорське №1|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Логи у вкладенні.  Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявку отменили. АТМ заработал.|Заявка відхилена|07.03.2019 14:17:33|07.03.2019 14:32:33|11.03.2019 13:32:00||11.03.2019 13:32:00|
2861|9978|13-41376413|flm|PersonaS 77|м. Краматорськ, вул. Ордженикидзе, 5 (2-й АТМ)|Краматорськ|Донецька|ПАТ НКМЗ|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Установка бумаги. Созвон с реноме.|Заявка закрита|07.03.2019 14:56:45|07.03.2019 15:11:45|11.03.2019 14:11:00|09.03.2019 14:50:10|11.03.2019 14:11:00|
2862|4092|13-45179963|flm|SelfServ 6626|м. Трускавець, вул. Стебницька, 23|Трускавець|Львівська|Квітковий Магазин  Ліатріс|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|В приміщені було відсутнє ел.живлення. Дзвонив в Реноме.|Заявка закрита|07.03.2019 16:07:07|07.03.2019 16:22:07|09.03.2019 12:22:00|07.03.2019 17:45:46||
2863|4196|13-52671489|flm|SelfServ 6626|м. Київ, пл. Дружби народів, 6|Київ|Київська|с/м Велика Кишеня|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги.|Заявка закрита|07.03.2019 17:39:32|07.03.2019 17:54:32|09.03.2019 09:54:00|08.03.2019 12:15:29|09.03.2019 09:54:00|
2864|4358|13-49011432|flm|SelfServ 6622|с. Єлизаветівка, вул. Індустріальна, 9А|Єлизаветівка|Дніпропетровська|Завод Мега Пак|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявку отменили. АТМ заработал.|Заявка відхилена|07.03.2019 18:39:51|11.03.2019 09:00:00|11.03.2019 17:00:00||11.03.2019 17:00:00|
2865|4264|13-45179903|flm|SelfServ 6626|м. Долинська, вул. Соборності України, 17 (2-й АТМ)|Долинська|Кіровоградська|Відділення Долинське|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги часового принтера. Тестирование. АТМ в работе.|Заявка закрита|08.03.2019 09:00:14|11.03.2019 09:00:00|11.03.2019 17:00:00|11.03.2019 12:00:05|11.03.2019 17:00:00|
